,0
0,Arizona
1,Arkansas
2,Connecticut
3,Delaware
4,Georgia
5,Idaho
6,Illinois
7,Indiana
8,Iowa
9,Kansas
10,Kentucky
11,Louisiana
12,Maine
13,Maryland
14,Massachusetts
15,Michigan
16,Minnesota
17,Montana
18,Nebraska
19,New Hampshire
20,New Mexico
21,Ohio
22,Oklahoma
23,Oregon
24,Pennsylvania
25,Rhode Island
26,Texas
27,Vermont
28,Virginia
29,West Virginia
30,Wisconsin
31,Wyoming
